Name	Count	Gabi	Candace	Jonathan	Matt
david	329302	M	M	M	M
michael	304056	M	M	M	M
john	269485	M	M	M	M
robert	253834	M	M	M	M
peter	209251	M	M	M	M
richard	173312	M	M	M	M
thomas	168384	M	M	M	M
william	165175	M	M	M	M
james	162224	M	M	M	M
daniel	150488	M	M	M	M
paul	147886	M	M	M	M
mark	115498	M	M	M	M
andrew	109142	M	M	M	M
maria	106396	F	F	F	F
martin	100517	M	M	M	M
christopher	90447	M	M	M	M
joseph	89376	M	M	M	M
stephen	88634	M	M	M	M
alexander	87402	M	M	M	M
george	82520	M	M	M	M
matthew	75846	M	M	M	M
jennifer	74549	F	F	F	F
charles	73463	M	M	M	M
anna	72193	F	F	F	F
jonathan	72121	M	M	M	M
christian	70994	M	M	M	M
steven	70663	M	M	M	M
eric	68827	M	M	M	M
patrick	64268	M	M	M	M
brian	64038	M	M	M	M
jan	63904	?	F	?	? (probably F, but could be M in some countries)
jeffrey	61672	M	M	M	M
elizabeth	61597	F	F	F	F
laura	60032	F	F	F	F
andrea	59675	F	F	F	F
frank	59547	M	M	M	M
hans	55032	M	M	M	M
josé	54746	M	M	M	M
andreas	54293	M	M	M	M?
susan	53584	F	F	F	F
sarah	53543	F	F	F	F
edward	52910	M	M	M	M
philip	51157	M	M	M	M
barbara	50981	F	F	F	F
mary	50594	F	F	F	F
anne	49947	F	F	F	F
alan	48406	M	M	M	M
juan	47926	M	M	M	M
jean	47658	?	?	?	? (probably F if English, but M if French)
benjamin	47056	M	M	M	M
anthony	47047	M	M	M	M
stefan	46264	M	M	M	M
antonio	45756	M	M	M	M
wolfgang	42873	M	M	M	M
kevin	42844	M	M	M	M
patricia	42748	F	F	F	F
marc	42608	M	M	M	M
kenneth	42207	M	M	M	M
carlos	42109	M	M	M	M
walter	42024	M	M	M	M
wei	41981	?	?	?	
karen	41872	F	F	F	F
marco	41742	M	M	M	M
ana	41618	F	F	F	F
mohammad	41574	M	M	M	M
timothy	41244	M	M	M	M
donald	41060	M	M	M	M
ronald	41058	M	M	M	M
rebecca	40900	F	F	F	F
scott	40790	M	M	M	M
jason	40073	M	M	M	M
gregory	40060	M	M	M	M
christine	39461	F	F	F	F
catherine	38470	F	F	F	F
pierre	38125	M	M	?	M
simon	37624	?	M	M	M
gary	37414	M	M	M	M
douglas	37165	M	M	M	M
nicholas	37110	M	M	M	M
ian	36958	?	M	M	M
adam	35848	M	M	M	M
lisa	35726	F	F	F	F
jun	35539	?	?	?	
francesco	34463	M	M	M	M
roger	34385	M	M	M	M
ali	34050	M	F	?	
rachel	33929	F	F	F	F
li	33564	?	?	?	
jessica	33547	F	F	F	F
linda	33450	F	F	F	F
vladimir	33347	M	M	M	M
roberto	33320	M	M	M	M
victor	32794	M	M	M	M
philippe	32794	M	M	M	M
chris	32588	M	M	M	M
elena	32162	F	F	F	F
bruce	32074	M	M	M	M
mohamed	31449	M	M	M	M
julie	31267	F	F	F	F